# Constructed from biom file,,,,,,,,
#OTU ID,taxonomy,V9L,V1O,V1L,V6O,V6L,Water control 1,Water control 2
307080,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4474056,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Peptoniphilus; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368769,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Anaerococcus; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4315658,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066981,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1696180,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma; s__,0.0,0.0,0.0,48.0,27.0,0.0,0.0
11325,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247720,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae; g__Brevibacterium; s__paucivorans,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4434455,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338852,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__reuteri,0.0,0.0,0.0,0.0,0.0,0.0,0.0
687649,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220823,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__veronii,1.0,0.0,0.0,0.0,0.0,0.0,0.0
403012,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__,0.0,0.0,0.0,1.0,0.0,0.0,0.0
271159,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Granulicatella; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4400491,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__lividum,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1040479,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Varibaculum; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
874417,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4383823,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__veronii,0.0,0.0,0.0,0.0,0.0,1.0,2.0
249652,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__melaninogenica,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29566,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Sneathia; s__,0.0,1.0,0.0,11.0,0.0,0.0,0.0
326923,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142842,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.0,0.0,0.0,0.0,0.0,2.0,1.0
546410,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__hamsteri,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288387,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
851594,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Atopobium; s__vaginae,0.0,0.0,0.0,125.0,34.0,0.0,0.0
851595,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__dispar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4375664,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Megasphaera; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428116,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4413217,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__parvula,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212982,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98258,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__MLE1-12; f__; g__; s__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
